,Date,Action,Type,HMC_Shares,HYMTF_Shares,HMC_Price,HYMTF_Price
95,2015-11-25,Close Position,upper,1533.7424030768461,1030.9278350515465,32.599998474121094,48.5
96,2015-11-27,Open Position,lower,1532.3321594634592,1030.9278350515465,32.630001068115234,48.5
97,2015-12-18,Close Position,lower,1565.4351648079971,1101.3215488880326,31.940000534057617,45.400001525878906
98,2015-12-21,Open Position,lower,1557.147276536678,1129.9435028248588,32.11000061035156,44.25
99,2016-01-06,Close Position,lower,1653.4391659537762,1158.7485105884145,30.239999771118164,43.150001525878906
100,2016-01-07,Open Position,lower,1694.915254237288,1267.7485228445146,29.5,39.439998626708984
101,2016-01-22,Close Position,lower,1740.947116831947,1257.861635220126,28.719999313354492,39.75
102,2016-01-25,Open Position,upper,1793.4003409283164,1265.8227848101267,27.8799991607666,39.5
103,2016-02-17,Close Position,upper,1905.4878214989158,1265.8227848101267,26.239999771118164,39.5
104,2016-02-18,Open Position,upper,1904.7619047619048,1210.653775391175,26.25,41.29999923706055
105,2016-03-01,Close Position,upper,1871.9581323035889,1215.657639230186,26.709999084472656,41.130001068115234
106,2016-03-02,Open Position,lower,1844.337841176891,1213.5922105364714,27.110000610351562,41.20000076293945
107,2016-03-10,Close Position,lower,1808.9725435640094,1200.4801480963424,27.639999389648438,41.650001525878906
108,2016-03-11,Open Position,upper,1771.165455571208,1184.5534490521457,28.229999542236328,42.209999084472656
109,2016-04-01,Close Position,upper,1901.8637603191983,1190.4761904761904,26.290000915527344,42.0
110,2016-04-04,Open Position,lower,1910.584633329536,1204.8192771084337,26.170000076293945,41.5
111,2016-04-13,Close Position,lower,1792.7572999000438,1136.3636363636363,27.889999389648438,44.0
112,2016-04-14,Open Position,upper,1792.1147198436383,1136.3636363636363,27.899999618530273,44.0
113,2016-04-19,Close Position,upper,1754.3859649122808,1133.7868873020748,28.5,44.099998474121094
114,2016-04-20,Open Position,lower,1761.1835531856686,1133.7868873020748,28.389999389648438,44.099998474121094
115,2016-04-21,Close Position,lower,1770.538257976064,1111.111111111111,28.239999771118164,45.0
116,2016-04-22,Open Position,upper,1745.2007213173208,1111.111111111111,28.649999618530273,45.0
117,2016-04-25,Close Position,upper,1742.7674823723162,1144.1647397499216,28.690000534057617,43.70000076293945
118,2016-04-26,Open Position,lower,1741.5535212274424,1144.1647397499216,28.709999084472656,43.70000076293945
119,2016-04-28,Close Position,lower,1836.2100932996796,1144.1647397499216,27.229999542236328,43.70000076293945
120,2016-04-29,Open Position,lower,1854.5994695080315,1173.7089622285857,26.959999084472656,42.599998474121094
121,2016-05-13,Close Position,lower,1902.587469314949,1244.4001896525435,26.280000686645508,40.18000030517578
122,2016-05-16,Open Position,lower,1842.9783098668984,1244.4001896525435,27.1299991607666,40.18000030517578
123,2016-05-26,Close Position,lower,1801.8018018018017,1231.2238179886879,27.75,40.61000061035156
124,2016-05-27,Open Position,upper,1840.2649929922313,1231.2238179886879,27.170000076293945,40.61000061035156
125,2016-05-31,Close Position,upper,1786.990736884183,1228.5012054724316,27.979999542236328,40.70000076293945
126,2016-06-01,Open Position,lower,1805.0541019080508,1225.4902189944812,27.700000762939453,40.79999923706055
127,2016-06-02,Close Position,lower,1832.8445286468307,1225.4902189944812,27.280000686645508,40.79999923706055
128,2016-06-03,Open Position,upper,1844.337841176891,1217.137238835325,27.110000610351562,41.08000183105469
